;;;RELAT‡RIO DE PEDIDO DE COMPRA;;;;JANEIRO/2019;;;;;;;
;;;;;;;;;;;;;;
NßOC;Linha;Data;Descriá∆o;Qtde;Vlr.Unit.;Vlr.Total;Fornecedor;;;;;;;
37457;1;21/01/19;Contrataá∆o de serviáos de transportes urbano e rodovi†rio para entrega de equipamentos leves e pesados, mobili†rios, etc, pelo per°odo de 3 meses e/ou valor, o que ocorrer primeiro. Segue em anexo Termo de Referància e planilha de custos.;47453,74;1,00;47.453,74;FABIO FRAGA DE OLIVEIRA;;;;;;;
37456;1;21/01/19;SERVIÄOS DE REALIZAÄ«O DE MEDIÄ«O DE GRANDEZAS ELêTRICAS, INTERPRETAÄ«O DESTAS MEDIÄÂES E APRESENTAÄ«O DE RELAT‡RIO COM INFORMAÄÂES PARA ADEQUAÄ«O DO BANCO DE CAPACITORES INSTALADO NO POSTO POUPATEMPO S«O BERNARDO DO CAMPO.;1;7.990,00;7.990,00;SANTOS E FILHOS GEST«O DE ENERGIA LTDA;;;;;;;
37449;1;17/01/19;"Manutená∆o corretiva para reparo na placa de um nobreak 5kva CM comando n/s 31635 contemplando: 01. Troca da ponte retificadora; 2. Calibraá∆o dos pulsos dos drivers; 3. Troca do diodo de bloqueio";1;3.195,00;3.195,00;ELETROTEC SISTEMAS E ENERGIA LTDA - EPP;;;;;;;
37447;1;16/01/19;"Grampo inteligente na cor cinza; pct c/ 500un. - marca cotada: 390Arq Arqfix";1;290,00;290,00;CELCO INDUSTRIA TECNICA DE PLASTICOS LTDA;;;;;;;
37446;1;16/01/19;LEVANTAMENTO PLANIALTIMETRICO PERIMETRICO DA SEDE DA PRODESP, DEVENDO OS SERVIÄOS SEREM EXECUTADOS ESTRITAMENTE EM CONFORMIDADE COM AS DISPOSIÄÂES ESTABELECIDAS NO TERMO DE REFER“NCIA TR.034/18, SENDO CONSTITU÷DOS DE:;1;11.800,00;11.800,00;DELTA MAIS ENGENHARIA LTDA;;;;;;;
37445;1;16/01/19;"Envelope branco 230 x 112mm; 90g; c/ janela alinhada Ö esquerda, 150 x 45mm; impress∆o em preto e branco; texto na frente e logotipo no verso, conforme modelo a ser retirado pelo fornecedor.";420;0,95;399,00;GRµFICA ROGEL LTDA;;;;;;;
37443;1;15/01/19;Limpeza, desinfecá∆o e manutená∆o geral de purificadores de †gua marca IBBL, modelo FR-600. 21 pás - Sede 1 pá - Galp∆o da Prodesp 5 pás - DIPOL 1 pá - Detran BV ;28;159,00;4.452,00;GAMA SERVICE COMêRCIO DE FILTROS LTDA;;;;;;;
37439;1;11/01/19;Fechadura FVEH360153 fecho Cremona com travamento por lingÅeta e varetas dir Mac bem pino cd Yale 2p/1s pa c/lingÅeta h20 espec°fica da porta da cabine prim†ria.;1;247,64;247,64;CASH COMPONENTES INDUSTRIAIS LTDA;;;;;;;
37438;1;11/01/19;Giricas com chassi e caáamba met†lica extra forte com capacidade de 80 litros.;2;239,00;478,00;NORTEL SUPRIMENTOS INDUSTRIAIS S.A;;;;;;;
37434;1;10/01/19;Contrataá∆o de consultoria para a revis∆o do relat¢rio de responsabilidade social empresarial ® metodologia GRI-2018;16000;1,00;16.000,00;IGEFE INSTITUTO DE GEST«O E FORMAÄ«O EMPRESARIAL LTDA-ME;;;;;;;
37498;1;31/01/19;Dispenser para papel higiànico rol∆o de atÇ 600m, transparente com base em ABS branco, tampa em policarbonato e fechamento com chave;15;35,00;525,00;IMPAKTO SISTEMAS DE LIMPEZA E DESCARTAVEIS LTDA;;;;;;;
37498;2;31/01/19;Tela para mict¢rio em PVC - fragrÉncia lim∆o;0;1,89;0,00;IMPAKTO SISTEMAS DE LIMPEZA E DESCARTAVEIS LTDA;;;;;;;
37498;3;31/01/19;Esponja dupla face amarela/verde;10;0,32;3,20;IMPAKTO SISTEMAS DE LIMPEZA E DESCARTAVEIS LTDA;;;;;;;
37498;4;31/01/19;µlcool 70ß l°quido - embalagem de 1 litro;15;3,76;56,40;IMPAKTO SISTEMAS DE LIMPEZA E DESCARTAVEIS LTDA;;;;;;;
37498;5;31/01/19;Detergente l°quido neutro de 500ml;10;1,52;15,20;IMPAKTO SISTEMAS DE LIMPEZA E DESCARTAVEIS LTDA;;;;;;;
37498;6;31/01/19;Pano multiuso medindo 30cm x 300m - rolo;1;68,86;68,86;IMPAKTO SISTEMAS DE LIMPEZA E DESCARTAVEIS LTDA;;;;;;;
37497;1;31/01/19;µlcool gel 70% em embalagem Skin AG com pump, para a higienizaá∆o das m∆os, que n∆o contenha Benzoato de Denatìnio - frasco com 1 litro. Posto Poupatempo Itaquera;132;10,00;1.320,00;LUI COSMêTICOS EIRELI - ME;;;;;;;
37497;2;31/01/19;µlcool gel 70% em embalagem Skin AG com pump, para a higienizaá∆o das m∆os, que n∆o contenha Benzoato de Denatìnio - frasco com 1 litro. Posto Poupatempo S∆o JosÇ dos Campos;72;10,00;720,00;LUI COSMêTICOS EIRELI - ME;;;;;;;
37496;1;31/01/19;Conserto de Secador de m∆os marca Clark, sÇrie 1013, com troca de peáas e m∆o de obra. Garantia: 90 dias;0;150,00;0,00;AGVI COMERCIO APARELHOS ELETRO ELETRONICOS LTDA - ME;;;;;;;
37495;1;30/01/19;"Spiral tub preto 1/2""";600;2,62;1.572,00;NORTEL SUPRIMENTOS INDUSTRIAIS S.A;;;;;;;
37495;2;30/01/19;"Spiral tub preto 3/4""";600;4,00;2.400,00;NORTEL SUPRIMENTOS INDUSTRIAIS S.A;;;;;;;
37494;1;30/01/19;FORNECIMENTO E INSTALAÄ«O DE NOVA LOGOMARCA MAIS A INDICAÄ«O DE 50 ANOS, APLICADA NA PAREDE DE FUNDO DO HALL DE ELEVADORES DA PRAÄA DO EDIF÷CIO SEDE PRODESP, CONFORME TERMO DE REFER“NCIA TR.036/18, QUE SEGUE ANEXO.;1;3.350,00;3.350,00;GEFOKAL SISTEMAS DE SINALIZAÄ«O LTDA;;;;;;;
37491;1;29/01/19;"PLACAS CIRCULARES ù 50CM EM CHAPA DE AÄO GAL-VANIZADO, COM ADESIVO REFLETIVO GRAU COMERCIAL, ABRAÄADEIRA E TUBOS DE ù 2 1/2"" COM 300 CM, E  INSTALAÄ«O.";13;440,00;5.720,00;GEFOKAL SISTEMAS DE SINALIZAÄ«O LTDA;;;;;;;
37491;2;29/01/19;"PLACAS LOSANGULARES DE 50X50CM, EM CHAPA DE AÄO GALVANIZADO, COM ADESIVO REFLETIVO GRAU CO-MERCIAL, ABRAÄADEIRA E TUBOS DE ù 2 ´"" COM 300 CM, E INSTALAÄ«O.";12;440,00;5.280,00;GEFOKAL SISTEMAS DE SINALIZAÄ«O LTDA;;;;;;;
37491;3;29/01/19;"PLACAS RETANGULARES DE 40X80CM, EM CHAPA DE AÄO GALVANIZADO, COM ADESIVO REFLETIVO GRAU CO-MERCIAL, ABRAÄADEIRA E TUBOS DE ù 2 ´"" COM 300 CM, E INSTALAÄ«O.";3;470,00;1.410,00;GEFOKAL SISTEMAS DE SINALIZAÄ«O LTDA;;;;;;;
37491;4;29/01/19;"PLACAS RETANGULARES DE 80X40CM, EM CHAPA DE AÄO GALVANIZADO, COM ADESIVO REFLETIVO GRAU CO-MERCIAL, ABRAÄADEIRA E TUBOS DE ù 2 ´"" COM 300 CM, E INSTALAÄ«O.";1;470,00;470,00;GEFOKAL SISTEMAS DE SINALIZAÄ«O LTDA;;;;;;;
37487;1;29/01/19;Limpa Contato;10;18,50;185,00;RITA DE CASSIA MARTINS DA ROCHA CRUZ;;;;;;;
37487;2;29/01/19;Fechadura met†lica padr∆o sanit†rio para porta com espessura de 35 mm, com espelho, maáaneta simples tipo alavanca e acabamento cromado. Referància marca Arouca 2025 ( 1¶ linha );7;37,15;260,05;RITA DE CASSIA MARTINS DA ROCHA CRUZ;;;;;;;
37487;3;29/01/19;Fecho Lingueta Yale - Linha ECO FECHO LINGUETA ECO MIOLO YALE PRETO A= 20MM;10;27,50;275,00;RITA DE CASSIA MARTINS DA ROCHA CRUZ;;;;;;;
37483;1;28/01/19;C∂MERA NIKON D750 (CORPO) COM BATTERY GRIP NIKON MB-D16 GARANTIA 12 MESES DA DATA DE ENTREGA (BALC«O);1;8.870,00;8.870,00;ANGEL FOTO DIGITAL LTDA;;;;;;;
37469;1;22/01/19;Motor ventilador com hÇlice, potància 1/8CV, 1110RPM e 220V, marca Eberle, modelo AC4654 ou similar, compat°vel com condensadora York CHC55B27 com capacidade para 60.000 BTU's,;1;628,00;628,00;SIBERIANO COMêRCIO DE PEÄAS DE REFRIGERAÄ«O EIRELI - ME;;;;;;;
37468;1;22/01/19;Placa eletrìnica universal completa, compat°vel com evaporadora York MKC55P17 com capacidade para 60.000 BTU's, 220V.;1;155,00;155,00;DISPARCON DISTR PEÄAS P/AR CONDIC. LTDA.;;;;;;;
37466;1;22/01/19;Bomba de dreno, compat°vel com evaporadora marca York modelo MKC55P17 com capacidade para 60.000 BTU's, 220 V.;1;250,00;250,00;EDMARCAS REFRIGERAÄ«O COMERCIAL LTDA;;;;;;;
37466;2;22/01/19;Compressor modelo scroll com capacidade para 60.000 BTU's, 220V, trif†sico, com uso de flu°do refrigerante R-22, marca Sanyo ou similar, para acionamento de split cassete York (condensadora CHC55B27 e evaporadora MKC55P17).;3;1.350,00;4.050,00;EDMARCAS REFRIGERAÄ«O COMERCIAL LTDA;;;;;;;
37466;3;22/01/19;G†s freon R-22 para sistema de ar condicionado - embalagem com 13,62 quilos;4;452,19;1.808,74;EDMARCAS REFRIGERAÄ«O COMERCIAL LTDA;;;;;;;
37466;4;22/01/19;Manta acr°lica pena 02 para uso em equipamento tipo split∆o, com rolo medindo 20m de comprimento x 1,40m de largura x 2cm de espessura.;5;230,00;1.150,00;EDMARCAS REFRIGERAÄ«O COMERCIAL LTDA;;;;;;;
37465;1;22/01/19;Ventilador de parede medindo 60cm de diÉmetro, grade protetora met†lica pintada em ep¢xi preto, 3 p†s de nylon, velocidade gradual, bivolt. Garantia: 12 meses c¢digo BEC: 3540898 OC: 513101510852019OC00004 ;5;148,00;740,00;TRON INDUSTRIAL REFRIGERAÄ«O E ELETR‚NICA LTDA;;;;;;;
37465;2;22/01/19;Ventilador de coluna medindo 1,50m no m°nimo e 2,10m no m†ximo, grade protetora em aáo, 3 p†s de nylon, controle de velocidade rotativa e gradual, bivolt. Garantia: 12 meses c¢digo BEC: 2107384 OC: 513101510852019OC00005 ;5;185,00;925,00;TRON INDUSTRIAL REFRIGERAÄ«O E ELETR‚NICA LTDA;;;;;;;
37464;1;22/01/19;LICENÄA DO SOFTWARE CORELDRAW GRAPHICS SUITE 2018 DEMAIS DADOS VIDE ITEM 1 DO ANEXO I DO REL.CDCT.118/2018.;1;2.400,00;2.400,00;MCR SISTEMAS E CONSULTORIA LTDA;;;;;;;
37460;1;21/01/19;FORNECIMENTO E INSTALAÄ«O DE APROXIMADAMENTE 178,60 METROS LINEARES DE CERCA DE CONCERTINA GALVANIZADA, DE 450 MM DE DI∂METRO, AO LONGO DE PAREDE EXISTENTE NO POSTO POUPATEMPO S«O BERNARDO DO CAMPO, PARA FINS DE PROTEÄ«O CONTRA VANDALISMO,;1;3.347,30;3.347,30;RENATA S. DE ARAUJO MIRANDA - ME;;;;;;;
37455;1;21/01/19;"ALMOFADA PARA CARIMBO Nß 3; COR PRETA - MARCA COTADA: KAZ";25;2,69;67,25;LISBECKH SUPRIMENTOS E ESCRIT‡RIO EIRELI;;;;;;;
37455;2;21/01/19;"CAIXA ORGANIZADORA EM POLIPROPILENO COM 2 PEGADORES/ENCAIXES PARA M«OS E 2 CANALETAS, DIMENS«O 420MM X 310MM X 200MM; CAPACIDADE 26,04 LT; COR PRETA - MARCA COTADA: DELLO 2172";35;29,50;1.032,50;LISBECKH SUPRIMENTOS E ESCRIT‡RIO EIRELI;;;;;;;
37455;3;21/01/19;"PINCEL MARCA TEXTO VERDE; CX C/ 12 UN. - MARCA COTADA: KAZ";1;11,88;11,88;LISBECKH SUPRIMENTOS E ESCRIT‡RIO EIRELI;;;;;;;
37454;1;21/01/19;"ETIQUETA ADESIVA A4; 70MM X 33 MM; PCT C/ 100 FLS - MARCA COTADA: PIMACO A4370.";1;45,00;45,00;DATASUPRI DISTRIBUIDORA EIRELI;;;;;;;
37454;2;21/01/19;FITA CREPE 48MMX50M - MARCA COTADA: ADELBRAS;10;6,35;63,50;DATASUPRI DISTRIBUIDORA EIRELI;;;;;;;
37454;3;21/01/19;FITA CREPE 18MM X 50M - MARCA COTADA: ADELBRAS;10;2,35;23,50;DATASUPRI DISTRIBUIDORA EIRELI;;;;;;;
37454;4;21/01/19;PRESILHA JACARê P/ CRACHµ C/ ALÄA TRANSPARENTE - MARCA COTADA: OFFICEPLAST;500;0,26;130,00;DATASUPRI DISTRIBUIDORA EIRELI;;;;;;;
37454;5;21/01/19;"ENVELOPE SACO KRAFT 180MM X 250MM; PCT C/ 250 UN. - MARCA COTADA: FORONI - 185MM X 248MM";1;26,75;26,75;DATASUPRI DISTRIBUIDORA EIRELI;;;;;;;
37454;6;21/01/19;COLA EM BAST«O 40GR - MARCA COTADA: OFFICE FIX 36GR;90;3,15;283,50;DATASUPRI DISTRIBUIDORA EIRELI;;;;;;;
37454;7;21/01/19;"ELµSTICO AMARELO Nß 18;  UNIDADE DE MEDIDA: KG DIVIDIDO EM PCTS DE 100GR.";5;15,00;75,00;DATASUPRI DISTRIBUIDORA EIRELI;;;;;;;
37454;8;21/01/19;TESOURA 21 CM - MARCA COTADA: JOCAR OFFICE;4;5,10;20,40;DATASUPRI DISTRIBUIDORA EIRELI;;;;;;;
37454;9;21/01/19;"PINCEL P/ QUADRO BRANCO; KIT COMPOSTO POR 4 CORES SORTIDAS E APAGADOR - MARCA COTADA: RADEX";1;13,37;13,37;DATASUPRI DISTRIBUIDORA EIRELI;;;;;;;
37454;10;21/01/19;"CORRETIVO L÷QUIDO BRANCO; 18 ML; CX C/ 12 UN. - MARCA COTADA: µTIMA";1;9,84;9,84;DATASUPRI DISTRIBUIDORA EIRELI;;;;;;;
37454;11;21/01/19;"GRAMPEADOR 26/6 25FL; PRETO - MARCA COTADA: ASA-096 CAVIA";4;11,90;47,60;DATASUPRI DISTRIBUIDORA EIRELI;;;;;;;
37454;12;21/01/19;"ENVELOPE SACO KRAFT 240MM X 340MM; PCT C/ 250UN. - MARCA COTADA: CELUCAT - 242MM X 236MM";1;39,00;39,00;DATASUPRI DISTRIBUIDORA EIRELI;;;;;;;
37453;1;18/01/19;CONTRATAÄ«O DE EMPRESA DE CONSULTORIA ESPECIALIZADA PARA ANµLISE DAS AP‡LICES DE SEGUROS EXISTENTES NA PRODESP E LEVANTAMENTO DE RISCOS INERENTES ∑S ATIVIDADES DA COMPANHIA COM SUGESTÂES DE NOVAS MODALIDADES DE SEGUROS;1;5.500,00;5.500,00;ASSERTIVA CORRETORA DE SEGUROS E CONSULTORIA EM GEST«O DE BENEF÷CIOS LTDA;;;;;;;
